length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases
85,17,0,0.0,3,0,5,10,0,0.0,0.03529411764705882,0,0,1,5,12.52,0,0
96,21,8,0.08333333333333333,4,0,7,2,0,0.14285714285714285,0.041666666666666664,1,0,1,5,20.17,0,1
108,20,16,0.14814814814814814,0,0,6,7,1,0.0,0.0,1,0,0,5,19.12,0,0
78,14,16,0.20512820512820512,0,0,6,7,1,0.0,0.0,1,0,0,5,8.17,0,0
94,18,1,0.010638297872340425,0,0,6,10,1,0.05555555555555555,0.0851063829787234,1,0,1,5,15.58,0,0
82,17,0,0.0,0,0,2,10,0,0.0,0.0,0,0,1,5,12.42,0,0
105,19,7,0.06666666666666667,0,0,8,5,1,0.21052631578947367,0.0,1,0,1,5,16.23,0,3
83,17,18,0.21686746987951808,0,0,5,0,1,0.0,0.0,1,0,0,5,18.43,0,0
85,16,0,0.0,3,0,5,10,0,0.0,0.12941176470588237,1,0,1,5,19.11,0,0
78,15,10,0.1282051282051282,3,0,6,0,1,0.0,0.07692307692307693,1,0,0,5,12.49,0,0
101,20,1,0.009900990099009901,4,0,7,12,0,0.15,0.039603960396039604,0,0,1,5,12.09,0,1
177,40,1,0.005649717514124294,0,0,7,1,0,0.075,0.0,0,0,0,5,16.47,0,0
198,44,6,0.030303030303030304,0,0,10,0,0,0.1590909090909091,0.025252525252525252,0,0,0,5,19.12,0,0
94,22,0,0.0,0,0,1,4,0,0.0,0.0,1,0,0,5,11.43,0,0
147,35,2,0.013605442176870748,0,0,6,0,0,0.08571428571428572,0.0,0,0,0,5,12.48,0,0
90,22,3,0.03333333333333333,0,0,1,0,0,0.0,0.0,0,0,0,5,17.34,0,0
103,23,1,0.009708737864077669,0,0,2,0,0,0.043478260869565216,0.0,0,0,0,5,10.53,0,0
190,44,2,0.010526315789473684,0,0,1,0,0,0.1590909090909091,0.0,0,0,0,5,6.43,0,0
305,66,5,0.01639344262295082,2,0,11,1,0,0.07575757575757576,0.0,0,0,0,5,11.11,0,0
95,22,1,0.010526315789473684,0,0,2,2,0,0.13636363636363635,0.0,0,0,0,5,7.41,0,0
107,26,3,0.028037383177570093,0,0,5,2,0,0.15384615384615385,0.0,0,0,0,5,18.16,0,0
71,17,1,0.014084507042253521,0,0,4,1,0,0.058823529411764705,0.0,0,0,0,5,13.39,0,0
78,19,0,0.0,0,0,0,0,0,0.05263157894736842,0.0,0,0,0,5,17.03,0,0
109,26,2,0.01834862385321101,0,0,5,1,0,0.038461538461538464,0.0,0,0,0,5,22.16,0,0
198,46,1,0.005050505050505051,0,0,7,2,0,0.17391304347826086,0.0,0,0,0,5,23.04,1,0
131,31,1,0.007633587786259542,0,0,3,0,0,0.03225806451612903,0.0,0,0,0,5,6.54,0,0
175,39,5,0.02857142857142857,0,0,4,0,0,0.1794871794871795,0.0,0,0,0,5,13.27,0,0
114,25,1,0.008771929824561403,0,0,5,2,0,0.12,0.0,0,0,0,5,10.21,0,0
119,26,3,0.025210084033613446,0,0,3,0,0,0.11538461538461539,0.0,0,0,0,5,13.29,0,0
121,28,2,0.01652892561983471,0,0,4,1,0,0.07142857142857142,0.0,0,0,0,5,19.16,0,0
179,42,0,0.0,0,0,5,3,0,0.23809523809523808,0.0,0,0,0,5,16.39,0,0
34,8,1,0.029411764705882353,0,0,1,0,0,0.0,0.0,0,0,0,5,21.07,0,0
95,20,3,0.031578947368421054,0,0,12,0,0,0.0,0.031578947368421054,0,0,0,5,11.47,0,0
274,66,2,0.0072992700729927005,0,0,5,3,0,0.16666666666666666,0.0,1,0,0,5,23.56,1,0
117,27,2,0.017094017094017096,0,0,5,0,0,0.037037037037037035,0.0,0,0,0,5,16.24,0,0
148,33,2,0.013513513513513514,0,0,4,0,0,0.06060606060606061,0.0,0,0,0,5,22.39,0,0
418,91,6,0.014354066985645933,0,0,11,0,0,0.10989010989010989,0.0,0,0,0,5,22.34,0,0
106,27,0,0.0,0,0,4,1,0,0.0,0.0,0,0,0,5,13.35,0,0
293,70,0,0.0,0,0,6,3,0,0.2714285714285714,0.020477815699658702,0,0,0,5,8.38,0,0
138,30,4,0.028985507246376812,0,0,6,1,0,0.03333333333333333,0.0,0,0,0,5,17.55,0,0
181,43,0,0.0,0,2,7,6,0,0.046511627906976744,0.0,0,0,0,5,21.21,0,0
103,26,0,0.0,0,0,4,1,0,0.15384615384615385,0.0,0,0,0,5,23.51,1,0
113,27,2,0.017699115044247787,0,0,0,2,0,0.18518518518518517,0.0,0,0,0,5,19.28,0,0
158,39,5,0.03164556962025317,0,0,6,1,0,0.10256410256410256,0.0,0,0,0,5,9.23,0,0
111,26,1,0.009009009009009009,0,0,0,2,0,0.038461538461538464,0.0,1,0,0,5,19.16,0,0
84,21,3,0.03571428571428571,0,0,2,1,0,0.047619047619047616,0.0,0,0,0,5,17.28,0,0
133,31,5,0.03759398496240601,0,0,5,1,0,0.12903225806451613,0.0,0,0,0,5,16.24,0,0
112,26,3,0.026785714285714284,0,0,10,1,0,0.07692307692307693,0.08035714285714286,0,0,0,5,6.13,0,0
178,42,1,0.0056179775280898875,0,0,3,1,0,0.09523809523809523,0.0,0,0,0,5,17.44,0,0
94,24,2,0.02127659574468085,0,0,3,3,0,0.125,0.0,0,0,0,5,9.5,0,0
146,34,1,0.00684931506849315,0,0,4,1,0,0.14705882352941177,0.0,0,0,0,5,11.16,0,0
155,38,3,0.01935483870967742,0,0,4,3,0,0.05263157894736842,0.0,0,0,0,5,20.01,0,0
333,72,6,0.018018018018018018,2,0,11,0,0,0.125,0.0,0,0,0,5,19.25,0,0
125,28,2,0.016,0,0,6,0,0,0.14285714285714285,0.0,1,0,0,5,19.18,0,0
78,19,1,0.01282051282051282,0,0,5,1,0,0.05263157894736842,0.038461538461538464,0,0,0,5,19.48,0,0
138,31,2,0.014492753623188406,0,0,1,0,0,0.0967741935483871,0.0,0,0,1,5,12.54,0,0
56,13,0,0.0,0,0,3,1,0,0.0,0.0,0,0,0,5,18.46,0,0
133,32,0,0.0,0,0,1,4,0,0.09375,0.022556390977443608,0,0,0,5,22.49,0,0
174,41,3,0.017241379310344827,0,0,4,2,0,0.0975609756097561,0.0,0,0,0,5,14.07,0,0
104,25,2,0.019230769230769232,0,0,0,0,0,0.2,0.0,0,0,0,5,19.2,0,0
155,31,3,0.01935483870967742,0,0,7,1,0,0.12903225806451613,0.0,0,0,0,5,16.46,0,0
134,28,1,0.007462686567164179,0,0,5,0,0,0.10714285714285714,0.0,0,0,0,5,18.1,0,0
128,29,1,0.0078125,0,0,3,1,0,0.06896551724137931,0.0,0,0,0,5,19.31,0,0
130,33,2,0.015384615384615385,0,0,5,3,0,0.030303030303030304,0.0,0,0,0,5,19.35,0,0
61,15,1,0.01639344262295082,0,0,4,1,0,0.06666666666666667,0.0,0,0,0,5,7.29,0,0
110,27,3,0.02727272727272727,0,0,2,0,0,0.037037037037037035,0.0,0,0,0,5,22.54,0,0
223,50,4,0.017937219730941704,1,0,12,1,0,0.16,0.0,0,0,0,5,14.09,0,0
107,25,0,0.0,0,0,2,0,0,0.16,0.0,0,0,0,5,17.24,0,0
32,9,1,0.03125,0,0,1,1,0,0.0,0.0,0,0,0,5,15.53,0,0
138,28,4,0.028985507246376812,0,0,7,0,0,0.03571428571428571,0.0,0,0,0,5,16.2,0,0
175,41,2,0.011428571428571429,0,0,6,1,0,0.17073170731707318,0.02857142857142857,0,0,0,5,21.1,0,0
111,25,2,0.018018018018018018,0,0,4,0,0,0.16,0.0,0,0,0,5,16.22,0,0
117,26,1,0.008547008547008548,0,0,2,0,0,0.038461538461538464,0.0,0,0,0,5,22.14,0,0
134,33,3,0.022388059701492536,0,0,6,4,0,0.0,0.0,0,0,1,5,12.33,0,0
156,39,6,0.038461538461538464,0,0,4,2,0,0.07692307692307693,0.0,0,0,0,5,4.42,1,0
104,25,2,0.019230769230769232,0,0,4,1,0,0.12,0.0,0,0,0,5,14.5,0,0
98,23,1,0.01020408163265306,0,0,5,1,0,0.08695652173913043,0.0,0,0,0,5,14.38,0,0
136,33,1,0.007352941176470588,0,0,3,1,0,0.09090909090909091,0.0,0,0,0,5,10.46,0,0
88,20,1,0.011363636363636364,0,0,4,1,0,0.1,0.0,0,0,0,5,16.1,0,0
110,24,6,0.05454545454545454,0,0,7,4,0,0.041666666666666664,0.02727272727272727,0,0,0,5,10.2,0,0
163,37,4,0.024539877300613498,0,0,4,0,0,0.10810810810810811,0.0,0,0,0,5,16.33,0,0
111,27,1,0.009009009009009009,0,0,1,0,0,0.1111111111111111,0.0,0,0,0,5,12.52,0,0
121,29,1,0.008264462809917356,0,0,5,1,0,0.06896551724137931,0.0,0,0,0,5,9.28,0,0
121,29,1,0.008264462809917356,0,0,0,0,0,0.06896551724137931,0.0,0,0,0,5,22.54,0,0
108,24,2,0.018518518518518517,0,0,0,1,0,0.041666666666666664,0.0,0,0,0,5,10.42,0,0
59,13,1,0.01694915254237288,0,0,3,0,0,0.07692307692307693,0.0,0,0,0,5,19.2,0,0
123,31,1,0.008130081300813009,0,0,0,0,0,0.06451612903225806,0.0,0,0,0,5,8.04,0,0
92,24,1,0.010869565217391304,0,0,0,2,0,0.125,0.0,0,0,0,5,18.34,0,0
92,21,4,0.043478260869565216,0,0,3,0,0,0.09523809523809523,0.0,0,0,0,5,17.34,0,0
96,21,4,0.041666666666666664,0,0,2,2,0,0.047619047619047616,0.0,0,0,0,5,22.02,0,0
103,25,1,0.009708737864077669,0,0,0,1,0,0.04,0.0,0,0,0,5,9.46,0,0
110,24,1,0.00909090909090909,0,0,5,1,0,0.041666666666666664,0.0,0,0,0,5,10.25,0,0
