length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases,if_score,rule_score,final_score,label
65,12,9,0.1384615384615384,0,0,7,3,1,0.0,0.0,1,0,0,5,16.03,0,0,0.4865680698542167,7.949999999999999,0.5981620458857436,0
98,21,7,0.0714285714285714,3,0,8,5,0,0.0476190476190476,0.0306122448979591,1,0,0,5,20.57,0,0,0.4748040556528631,0.0,0.3372276807149214,0
83,16,1,0.0120481927710843,0,0,5,0,1,0.5,0.036144578313253,1,0,1,5,18.24,0,6,0.6022371135089526,13.05,1.002011579839645,1
76,16,1,0.0131578947368421,0,0,3,12,0,0.0,0.1052631578947368,0,0,1,5,8.33,0,0,0.4618488506599739,12.399999999999999,0.6757592514457444,0
93,18,6,0.064516129032258,0,0,2,15,0,0.0,0.0,1,0,1,5,17.03,0,0,0.46708129017461486,7.050000000000001,0.5289182907897163,0
94,18,1,0.0106382978723404,0,0,6,10,1,0.0555555555555555,0.0,1,0,1,5,11.08,0,0,0.5016945253993235,18.25,0.9359765161446887,1
73,14,15,0.2054794520547945,0,0,5,8,1,0.0714285714285714,0.0410958904109589,1,0,0,5,15.42,0,0,0.5091092701051025,10.55,0.7243815120224983,0
85,17,1,0.0117647058823529,0,0,6,0,1,0.2352941176470588,0.0352941176470588,1,0,1,5,17.05,0,3,0.5376660456605242,10.85,0.795709379628684,1
78,16,0,0.0,0,0,2,10,0,0.0,0.0,0,0,1,5,12.39,0,0,0.41238303366907864,11.2,0.5320772189915738,0
85,16,1,0.0117647058823529,0,0,5,0,1,0.5,0.0352941176470588,1,0,1,5,15.14,0,6,0.5999777715480826,13.05,0.9970705208263627,1
86,18,1,0.0116279069767441,0,0,4,10,0,0.0555555555555555,0.0,1,0,1,5,13.48,0,0,0.4380591842385421,9.25,0.5305372677795525,0
85,17,0,0.0,3,0,5,10,0,0.0,0.0352941176470588,0,0,1,5,12.52,0,0,0.4720930003912027,8.5,0.5827780390163022,0
